Anslag,Namn,2022,2023,2024,Utgiftsområde
3:1,Sametinget,0,0,0,1
4:1,Regeringskansliet m.m.,6000000,-24000000,-25000000,1
5:1,Länsstyrelserna m.m.,4000000,-9000000,-4000000,1
6:2,Justitiekanslern,0,0,0,1
6:3,Integritetsskyddsmyndigheten,0,-1000000,-1000000,1
6:4,Valmyndigheten,0,0,0,1
6:6,Institutet för mänskliga rättigheter,0,0,0,1
8:1,Mediestöd,15000000,15000000,15000000,1
8:2,"Myndigheten för press, radio och tv",0,0,0,1
9:1,Svenska institutet för europapolitiska studier samt EU-information,0,0,0,1
1:1,Statskontoret,0,0,0,2
1:2,Kammarkollegiet,0,0,0,2
1:6,Finanspolitiska rådet,0,0,0,2
1:7,Konjunkturinstitutet,0,0,0,2
1:8,Ekonomistyrningsverket,0,-1000000,-1000000,2
1:9,Statistiska centralbyrån,-1000000,-3000000,-3000000,2
1:11,Finansinspektionen,-11000000,-13000000,-13000000,2
1:12,Riksgäldskontoret,0,-2000000,-2000000,2
1:13,Bokföringsnämnden,0,0,0,2
1:15,Statens servicecenter,-1000000,-4000000,-4000000,2
1:16,Finansmarknadsforskning,0,0,0,2
1:17,Upphandlingsmyndigheten,-15000000,-16000000,-16000000,2
99:1,Kommuners finansiella samarbete,280000000,0,0,2
1:1,Skatteverket,-16000000,-43000000,-43000000,3
1:2,Tullverket,43000000,43000000,43000000,3
1:1,Polismyndigheten,321000000,406000000,441000000,4
1:5,Sveriges Domstolar,40000000,40000000,50000000,4
1:2,Freds- och säkerhetsfrämjande verksamhet,0,-1000000,-1000000,5
1:3,Nordiskt samarbete,4000000,4000000,4000000,5
1:5,Inspektionen för strategiska produkter,0,0,0,5
1:9,Svenska institutet,0,-1000000,-1000000,5
1:1,Socialstyrelsen,9000000,2000000,2000000,9
1:2,Statens beredning för medicinsk och social utvärdering,0,0,0,9
1:3,Tandvårds- och läkemedelsförmånsverket,-1000000,-1000000,-1000000,9
1:6,Bidrag till folkhälsa och sjukvård,1430000000,1280000000,1130000000,9
1:9,Läkemedelsverket,0,-1000000,-1000000,9
1:10,E-hälsomyndigheten,0,-1000000,-1000000,9
1:11,Prestationsbundna insatser för att korta vårdköerna,100000000,100000000,100000000,9
1:12,Inspektionen för vård och omsorg,-2000000,-4000000,-4000000,9
2:1,Folkhälsomyndigheten,-2000000,-4000000,-4000000,9
3:1,Myndigheten för delaktighet,0,0,0,9
4:1,Myndigheten för familjerätt och föräldraskapsstöd,0,0,0,9
4:5,Stimulansbidrag och åtgärder inom äldreområdet,-650000000,-650000000,-650000000,9
4:6,Statens institutionsstyrelse,-486000000,-8000000,-8000000,9
4:8,Myndigheten för vård- och omsorgsanalys,3000000,3000000,3000000,9
5:1,Barnombudsmannen,0,0,0,9
6:1,"Forskningsrådet för hälsa, arbetsliv och välfärd: Förvaltning",0,0,0,9
1:2,Föräldraförsäkring,-3194000000,-3810000000,-3888000000,12
1:8,Bostadsbidrag,100000000,0,0,12
2:1,Diskrimineringsombudsmannen,0,-1000000,-1000000,13
3:1,Särskilda jämställdhetsåtgärder,-185000000,-178000000,-178000000,13
3:2,Jämställdhetsmyndigheten,0,0,0,13
4:2,Delegationen mot segregation,0,0,0,13
99:1,Statsbidrag för kvinno- och tjejjourer,200000000,200000000,200000000,13
1:1,Arbetsförmedlingens förvaltningskostnader,-7000000,-36000000,-36000000,14
1:2,Bidrag till arbetslöshetsersättning och aktivitetsstöd,-3254000000,3120000000,2569000000,14
1:3,Kostnader för arbetsmarknadspolitiska program och insatser,-520000000,-1553000000,-2561000000,14
1:5,Rådet för Europeiska socialfonden i Sverige,0,-1000000,-1000000,14
1:8,Institutet för arbetsmarknads- och utbildningspolitisk utvärdering,0,0,0,14
1:9,Inspektionen för arbetslöshetsförsäkringen,0,0,0,14
1:10,Bidrag till administration av grundbeloppet,0,0,0,14
1:13,"Nystartsjobb, etableringsjobb och stöd för yrkesintroduktionsanställningar",1306000000,66000000,88000000,14
1:14,Etableringsersättning till vissa nyanlända invandrare,93000000,94000000,70000000,14
2:1,Arbetsmiljöverket,-26000000,-53000000,-78000000,14
2:2,Arbetsdomstolen,0,0,0,14
2:4,Medlingsinstitutet,0,0,0,14
2:5,Myndigheten för arbetsmiljökunskap,0,0,0,14
1:8,Centrala studiestödsnämnden,-1000000,-5000000,-5000000,15
1:9,Överklagandenämnden för studiestöd,0,0,0,15
1:1,Statens skolverk,-56000000,-109000000,-103000000,16
1:2,Statens skolinspektion,-1000000,-2000000,-2000000,16
1:3,Specialpedagogiska skolmyndigheten,-3000000,-4000000,-4000000,16
1:4,Sameskolstyrelsen,0,0,0,16
1:5,Utveckling av skolväsendet och annan pedagogisk verksamhet,-880000000,120000000,0,16
1:11,Skolforskningsinstitutet,-1000000,-1000000,0,16
1:15,Statligt stöd för stärkt likvärdighet och kunskapsutveckling,-323000000,-298000000,-383000000,16
1:17,Statligt stöd till vuxenutbildning,60000000,60000000,60000000,16
