Anslag,Namn,2022,Utgiftsområde
1:1,Kungliga hov- och slottsstaten,0,1
2:1,Riksdagens ledamöter och partier m.m.,0,1
2:2,Riksdagens förvaltningsanslag,0,1
2:3,Riksdagens fastighetsanslag,0,1
2:4,Riksdagens ombudsmän (JO),0,1
2:5,Riksrevisionen,0,1
3:1,Sametinget,-6000000,1
4:1,Regeringskansliet m.m.,0,1
5:1,Länsstyrelserna m.m.,-129500000,1
6:1,Allmänna val och demokrati,0,1
6:2,Justitiekanslern,0,1
6:3,Integritetsskyddsmyndigheten,-13000000,1
6:4,Valmyndigheten,0,1
6:5,Stöd till politiska partier,0,1
6:6,Institutet för mänskliga rättigheter,0,1
7:1,Åtgärder för nationella minoriteter,0,1
7:2,Åtgärder för den nationella minoriteten romer,0,1
8:1,Mediestöd,0,1
8:2,"Myndigheten för press, radio och tv",0,1
9:1,Svenska institutet för europapolitiska studier samt EU-information,0,1
1:1,Statskontoret,0,2
1:2,Kammarkollegiet,0,2
1:3,Finansinspektionens avgifter till EU:s tillsynsmyndigheter,0,2
1:4,Arbetsgivarpolitiska frågor,0,2
1:5,Statliga tjänstepensioner m.m.,0,2
1:6,Finanspolitiska rådet,0,2
1:7,Konjunkturinstitutet,0,2
1:8,Ekonomistyrningsverket,147000000,2
1:9,Statistiska centralbyrån,0,2
1:10,Bidragsfastigheter,-50000000,2
1:11,Finansinspektionen,20000000,2
1:12,Riksgäldskontoret,0,2
1:13,Bokföringsnämnden,0,2
1:14,Vissa garanti- och medlemsavgifter,0,2
1:15,Statens servicecenter,20000000,2
1:16,Finansmarknadsforskning,0,2
1:17,Upphandlingsmyndigheten,0,2
1:1,Skatteverket,0,3
1:2,Tullverket,100000000,3
1:3,Kronofogdemyndigheten,30000000,3
1:1,Polismyndigheten,1315000000,4
1:2,Säkerhetspolisen,17000000,4
1:3,Åklagarmyndigheten,0,4
1:4,Ekobrottsmyndigheten,0,4
1:5,Sveriges Domstolar,100000000,4
1:6,Kriminalvården,161000000,4
1:7,Brottsförebyggande rådet,0,4
1:8,Rättsmedicinalverket,0,4
1:9,Brottsoffermyndigheten,0,4
1:10,Ersättning för skador på grund av brott,0,4
1:11,Rättsliga biträden m.m.,0,4
1:12,Kostnader för vissa skaderegleringar m.m.,0,4
1:13,Avgifter till vissa internationella sammanslutningar,0,4
1:14,Bidrag till lokalt brottsförebyggande arbete,0,4
1:15,Säkerhets- och integritetsskyddsnämnden,0,4
1:16,Domarnämnden,0,4
1:17,"Från EU-budgeten finansierade insatser avseende EU:s inre säkerhet, gränsförvaltning och visering",0,4
1:1,Förbandsverksamhet och beredskap,0,6
1:2,Försvarsmaktens insatser internationellt,0,6
1:3,Anskaffning av materiel och anläggningar,0,6
1:4,Forskning och teknikutveckling,0,6
1:5,Statens inspektion för försvarsunderrättelseverksamheten,0,6
1:6,Totalförsvarets plikt- och prövningsverk,0,6
1:7,Officersutbildning m.m.,0,6
1:8,Försvarets radioanstalt,30000000,6
1:9,Totalförsvarets forskningsinstitut,0,6
1:10,Nämnder m.m.,0,6
1:11,Försvarets materielverk,0,6
1:12,Försvarsunderrättelsedomstolen,0,6
2:1,Kustbevakningen,40000000,6
2:2,Förebyggande åtgärder mot jordskred och andra naturolyckor,-425000000,6
2:3,Ersättning för räddningstjänst m.m.,0,6
2:4,Krisberedskap,0,6
2:5,Ersättning till SOS Alarm Sverige AB för alarmeringstjänst enligt avtal,0,6
2:6,Myndigheten för samhällsskydd och beredskap,3000000,6
2:7,Statens haverikommission,0,6
2:8,Myndigheten för psykologiskt försvar,0,6
2:9,Rakel Generation 2,0,6
3:1,Strålsäkerhetsmyndigheten,0,6
99:1,Cybersäkerhetsmyndighet,10000000,6
1:1,Migrationsverket,175000000,8
1:2,Ersättningar och bostadskostnader,100000000,8
1:3,Migrationspolitiska åtgärder,0,8
1:4,Domstolsprövning i utlänningsmål,10000000,8
1:5,Rättsliga biträden m.m. vid domstolsprövning i utlänningsmål,0,8
1:6,Offentligt biträde i utlänningsärenden,0,8
1:7,Utresor för avvisade och utvisade,0,8
1:8,Från EU-budgeten finansierade insatser för asylsökande och flyktingar,0,8
99:1,Inspektion för migrationsfrågor,10000000,8
1:1,Socialstyrelsen,0,9
1:2,Statens beredning för medicinsk och social utvärdering,0,9
1:3,Tandvårds- och läkemedelsförmånsverket,0,9
1:4,Tandvårdsförmåner,0,9
1:5,Bidrag för läkemedelsförmånerna,-480000000,9
1:6,Bidrag till folkhälsa och sjukvård,1650000000,9
1:7,Sjukvård i internationella förhållanden,0,9
1:8,Bidrag till psykiatri,50000000,9
1:9,Läkemedelsverket,0,9
1:10,E-hälsomyndigheten,0,9
1:11,Prestationsbundna insatser för att korta vårdköerna,0,9
1:12,Inspektionen för vård och omsorg,25000000,9
2:1,Folkhälsomyndigheten,0,9
2:2,Insatser för vaccinberedskap,0,9
2:3,Bidrag till WHO,0,9
2:4,Insatser mot hiv/aids och andra smittsamma sjukdomar,0,9
2:5,"Åtgärder avseende alkohol, narkotika, dopning, tobak samt spel",80000000,9
3:1,Myndigheten för delaktighet,0,9
3:2,Bidrag till funktionshindersorganisationer,0,9
4:1,Myndigheten för familjerätt och föräldraskapsstöd,-3200000,9
4:2,Vissa statsbidrag inom funktionshindersområdet,0,9
4:3,Bilstöd till personer med funktionsnedsättning,0,9
4:4,Kostnader för statlig assistansersättning,170000000,9
4:5,Stimulansbidrag och åtgärder inom äldreområdet,1750000000,9
4:6,Statens institutionsstyrelse,50000000,9
4:7,Bidrag till utveckling av socialt arbete m.m.,1106000000,9
4:8,Myndigheten för vård- och omsorgsanalys,0,9
5:1,Barnombudsmannen,0,9
5:2,Barnets rättigheter,0,9
6:1,"Forskningsrådet för hälsa, arbetsliv och välfärd: Förvaltning",0,9
6:2,"Forskningsrådet för hälsa, arbetsliv och välfärd: Forskning",50000000,9
99:2,Fond för idéburen vård och omsorg,300000000,9
99:3,Bostad först,200000000,9
99:4,Nationellt Kunskapscentrum för frågor om oönskad sexualitet och prevention av sexuellt våld,5000000,9
99:5,Mammografi infosatsning,50000000,9
99:6,Utrota livmoderhalscancer,25000000,9
1:1,Sjukpenning och rehabilitering m.m.,-2637400000,10
1:2,Aktivitets- och sjukersättningar m.m.,-520400000,10
1:3,Merkostnadsersättning och handikappersättning,0,10
1:4,Arbetsskadeersättningar m.m.,0,10
1:5,Ersättning inom det statliga personskadeskyddet,0,10
1:6,Bidrag för sjukskrivningsprocessen,1000000000,10
1:7,Ersättning för höga sjuklönekostnader,0,10
2:1,Försäkringskassan,40000000,10
2:2,Inspektionen för socialförsäkringen,0,10
99:1,Mentorer för sjukskrivna,7000000,10
1:1,Garantipension till ålderspension,-800000000,11
1:2,Efterlevandepensioner till vuxna,0,11
1:3,Bostadstillägg till pensionärer,900000000,11
1:4,Äldreförsörjningsstöd,300000000,11
1:5,Inkomstpensionstillägg,0,11
2:1,Pensionsmyndigheten,0,11
1:1,Barnbidrag,0,12
1:2,Föräldraförsäkring,-2412000000,12
1:3,Underhållsstöd,-35000000,12
1:4,Adoptionsbidrag,3200000,12
1:5,Barnpension och efterlevandestöd,0,12
1:6,Omvårdnadsbidrag och vårdbidrag,0,12
1:7,Pensionsrätt för barnår,0,12
1:8,Bostadsbidrag,600000000,12
1:1,Arbetsförmedlingens förvaltningskostnader,0,14
1:2,Bidrag till arbetslöshetsersättning och aktivitetsstöd,-4237000000,14
1:3,Kostnader för arbetsmarknadspolitiska program och insatser,-309000000,14
1:4,Lönebidrag och Samhall m.m.,180000000,14
1:5,Rådet för Europeiska socialfonden i Sverige,0,14
1:6,Europeiska socialfonden m.m. för perioden 2014-2020,0,14
1:7,Europeiska socialfonden plus m.m. för perioden 2021–2027,0,14
1:8,Institutet för arbetsmarknads- och utbildningspolitisk utvärdering,0,14
1:9,Inspektionen för arbetslöshetsförsäkringen,0,14
1:10,Bidrag till administration av grundbeloppet,0,14
1:11,Bidrag till Stiftelsen Utbildning Nordkalotten,0,14
1:12,Bidrag till lönegarantiersättning,0,14
1:13,"Nystartsjobb, etableringsjobb och stöd för yrkesintroduktionsanställningar",3084000000,14
1:14,Etableringsersättning till vissa nyanlända invandrare,-162000000,14
1:15,Omställnings- och kompetensstöd genom den offentliga omställningsorganisationen,0,14
2:1,Arbetsmiljöverket,0,14
2:2,Arbetsdomstolen,0,14
2:3,Internationella arbetsorganisationen (ILO),0,14
2:4,Medlingsinstitutet,0,14
2:5,Myndigheten för arbetsmiljökunskap,0,14
2:6,Regional skyddsombudsverksamhet,0,14
99:2,Förlängt etableringsprogram,0,14
99:3,Jobbstimulans för dubbelt JSA-grupper,1160000000,14
99:4,Tillfällig flyttpeng för arbetslösa,50000000,14
99:5,Inför matchningsanställningar,734000000,14
1:1,Studiehjälp,0,15
1:2,Studiemedel,-1340000000,15
1:3,Avsättning för kreditförluster,50000000,15
1:4,Statens utgifter för studiemedelsräntor,0,15
1:5,Bidrag till kostnader vid viss gymnasieutbildning och vid viss föräldrautbildning i teckenspråk,0,15
1:6,Bidrag till vissa studiesociala ändamål,0,15
1:7,Studiestartsstöd,-400000000,15
1:8,Centrala studiestödsnämnden,0,15
1:9,Överklagandenämnden för studiestöd,0,15
1:1,Statens skolverk,0,16
1:2,Statens skolinspektion,18000000,16
1:3,Specialpedagogiska skolmyndigheten,0,16
1:4,Sameskolstyrelsen,0,16
1:5,Utveckling av skolväsendet och annan pedagogisk verksamhet,-220000000,16
1:6,Statligt stöd till särskild utbildning i gymnasieskolan,0,16
1:7,"Maxtaxa i förskola, fritidshem och annan pedagogisk verksamhet, m.m.",0,16
1:8,"Bidrag till viss verksamhet inom skolväsendet, m.m.",0,16
1:9,Bidrag till svensk undervisning i utlandet,0,16
1:10,Fortbildning av lärare och förskolepersonal,100000000,16
1:11,Skolforskningsinstitutet,0,16
1:12,Praktiknära skolforskning,50000000,16
1:13,Bidrag till lärarlöner,0,16
1:14,Särskilda insatser inom skolområdet,0,16
1:15,Statligt stöd för stärkt likvärdighet och kunskapsutveckling,0,16
1:16,Bidrag till vissa studier,0,16
1:17,Statligt stöd till vuxenutbildning,0,16
1:18,Myndigheten för yrkeshögskolan,0,16
1:19,Statligt stöd till yrkeshögskoleutbildning,0,16
2:1,Universitetskanslersämbetet,0,16
2:2,Universitets- och högskolerådet,0,16
2:3,Uppsala universitet: Utbildning på grundnivå och avancerad nivå,0,16
2:4,Uppsala universitet: Forskning och utbildning på forskarnivå,0,16
2:5,Lunds universitet: Utbildning på grundnivå och avancerad nivå,0,16
2:6,Lunds universitet: Forskning och utbildning på forskarnivå,0,16
2:7,Göteborgs universitet: Utbildning på grundnivå och avancerad nivå,0,16
2:8,Göteborgs universitet: Forskning och utbildning på forskarnivå,0,16
2:9,Stockholms universitet: Utbildning på grundnivå och avancerad nivå,0,16
2:10,Stockholms universitet: Forskning och utbildning på forskarnivå,0,16
2:11,Umeå universitet: Utbildning på grundnivå och avancerad nivå,0,16
2:12,Umeå universitet: Forskning och utbildning på forskarnivå,0,16
2:13,Linköpings universitet: Utbildning på grundnivå och avancerad nivå,0,16
2:14,Linköpings universitet: Forskning och utbildning på forskarnivå,0,16
2:15,Karolinska institutet: Utbildning på grundnivå och avancerad nivå,0,16
2:16,Karolinska institutet: Forskning och utbildning på forskarnivå,0,16
2:17,Kungl. Tekniska högskolan: Utbildning på grundnivå och avancerad nivå,0,16
2:18,Kungl. Tekniska högskolan: Forskning och utbildning på forskarnivå,0,16
2:19,Luleå tekniska universitet: Utbildning på grundnivå och avancerad nivå,0,16
2:20,Luleå tekniska universitet: Forskning och utbildning på forskarnivå,0,16
2:21,Karlstads universitet: Utbildning på grundnivå och avancerad nivå,0,16
2:22,Karlstads universitet: Forskning och utbildning på forskarnivå,0,16
2:23,Linnéuniversitetet: Utbildning på grundnivå och avancerad nivå,0,16
2:24,Linnéuniversitetet: Forskning och utbildning på forskarnivå,0,16
2:25,Örebro universitet: Utbildning på grundnivå och avancerad nivå,0,16
2:26,Örebro universitet: Forskning och utbildning på forskarnivå,0,16
2:27,Mittuniversitetet: Utbildning på grundnivå och avancerad nivå,0,16
2:28,Mittuniversitetet: Forskning och utbildning på forskarnivå,0,16
2:29,Malmö universitet: Utbildning på grundnivå och avancerad nivå,0,16
2:30,Malmö universitet: Forskning och utbildning på forskarnivå,0,16
2:31,Mälardalens universitet: Utbildning på grundnivå och avancerad nivå,0,16
2:32,Mälardalens universitet: Forskning och utbildning på forskarnivå,0,16
2:33,Blekinge tekniska högskola: Utbildning på grundnivå och avancerad nivå,0,16
2:34,Blekinge tekniska högskola: Forskning och utbildning på forskarnivå,0,16
2:35,Stockholms konstnärliga högskola: Utbildning på grundnivå och avancerad nivå,0,16
2:36,Stockholms konstnärliga högskola: Konstnärlig forskning och utbildning på forskarnivå,0,16
2:37,Gymnastik- och idrottshögskolan: Utbildning på grundnivå och avancerad nivå,0,16
2:38,Gymnastik- och idrottshögskolan: Forskning och utbildning på forskarnivå,0,16
2:39,Högskolan i Borås: Utbildning på grundnivå och avancerad nivå,0,16
2:40,Högskolan i Borås: Forskning och utbildning på forskarnivå,0,16
2:41,Högskolan Dalarna: Utbildning på grundnivå och avancerad nivå,0,16
2:42,Högskolan Dalarna: Forskning och utbildning på forskarnivå,0,16
2:43,Högskolan i Gävle: Utbildning på grundnivå och avancerad nivå,0,16
2:44,Högskolan i Gävle: Forskning och utbildning på forskarnivå,0,16
2:45,Högskolan i Halmstad: Utbildning på grundnivå och avancerad nivå,0,16
2:46,Högskolan i Halmstad: Forskning och utbildning på forskarnivå,0,16
2:47,Högskolan Kristianstad: Utbildning på grundnivå och avancerad nivå,0,16
2:48,Högskolan Kristianstad: Forskning och utbildning på forskarnivå,0,16
2:49,Högskolan i Skövde: Utbildning på grundnivå och avancerad nivå,0,16
2:50,Högskolan i Skövde: Forskning och utbildning på forskarnivå,0,16
2:51,Högskolan Väst: Utbildning på grundnivå och avancerad nivå,0,16
2:52,Högskolan Väst: Forskning och utbildning på forskarnivå,0,16
2:53,Konstfack: Utbildning på grundnivå och avancerad nivå,0,16
2:54,Konstfack: Konstnärlig forskning och utbildning på forskarnivå,0,16
2:55,Kungl. Konsthögskolan: Utbildning på grundnivå och avancerad nivå,0,16
2:56,Kungl. Konsthögskolan: Konstnärlig forskning och utbildning på forskarnivå,0,16
2:57,Kungl. Musikhögskolan i Stockholm: Utbildning på grundnivå och avancerad nivå,0,16
2:58,Kungl. Musikhögskolan i Stockholm: Konstnärlig forskning och utbildning på forskarnivå,0,16
2:59,Södertörns högskola: Utbildning på grundnivå och avancerad nivå,0,16
2:60,Södertörns högskola: Forskning och utbildning på forskarnivå,0,16
2:61,Försvarshögskolan: Utbildning på grundnivå och avancerad nivå,0,16
