Kod,Namn,Avvikelse från regeringen
2:2,Riksdagens förvaltningsanslag,10000000
4:1,Regeringskansliet m.m.,65000000
6:1,Allmänna val och demokrati,31000000
1:7,Konjunkturinstitutet,10000000
1:1,Skatteverket,10000000
1:2,Tullverket,80000000
1:1,Polismyndigheten,863000000
1:2,Säkerhetspolisen,37000000
1:3,Åklagarmyndigheten,76000000
1:6,Kriminalvården,645000000
1:10,Ersättning för skador på grund av brott,40000000
99:1,Statligt stöd till kommunala ordningsvakter och lokala trygghetsåtgärder,500000000
1:4,Forskning och teknikutveckling,20000000
1:8,Försvarets radioanstalt,30000000
1:9,Totalförsvarets forskningsinstitut,30000000
2:1,Kustbevakningen,45000000
1:1,Biståndsverksamhet,-13010000000
1:1,Migrationsverket,105000000
1:3,Tandvårds- och läkemedelsförmånsverket,5000000
1:6,Bidrag till folkhälsa och sjukvård,80000000
2:4,Insatser mot hiv/aids och andra smittsamma sjukdomar,75000000
4:7,Bidrag till utveckling av socialt arbete m.m.,150000000
1:1,Sjukpenning och rehabilitering m.m.,-2722000000
1:2,Aktivitets- och sjukersättningar m.m.,-2387000000
2:1,Försäkringskassan,-310000000
1:1,Garantipension till ålderspension,0
1:4,Äldreförsörjningsstöd,0
1:2,Föräldraförsäkring,-3194000000
1:3,Underhållsstöd,-35000000
1:8,Bostadsbidrag,0
3:1,Särskilda jämställdhetsåtgärder,10000000
4:2,Delegationen mot segregation,-9000000
1:2,Bidrag till arbetslöshetsersättning och aktivitetsstöd,-4524000000
1:3,Kostnader för arbetsmarknadspolitiska program och insatser,-2069000000
1:4,Lönebidrag och Samhall m.m.,826000000
1:13,"Nystartsjobb, etableringsjobb och stöd för yrkesintroduktionsanställningar",1628000000
1:14,Etableringsersättning till vissa nyanlända invandrare,45000000
2:1,Arbetsmiljöverket,20000000
2:5,Myndigheten för arbetsmiljökunskap,-20000000
1:8,Centrala studiestödsnämnden,5000000
99:1,Betald polisutbildning,0
1:1,Statens skolverk,-71000000
1:2,Statens skolinspektion,60000000
1:5,Utveckling av skolväsendet och annan pedagogisk verksamhet,20000000
2:1,Universitetskanslersämbetet,10000000
2:64,Särskilda utgifter inom universitet och högskolor,20000000
3:1,Vetenskapsrådet: Forskning och forskningsinformation,100000000
1:2,"Bidrag till allmän kulturverksamhet, utveckling samt internationellt kulturutbyte och samarbete",190000000
8:1,Centrala museer: Myndigheter,-67000000
13:3,Stöd till friluftsorganisationer,15000000
14:1,Bidrag till folkbildningen,-138000000
1:4,Boverket,-20000000
1:6,Lantmäteriet,20000000
1:7,Energieffektivisering av flerbostadshus,-1256000000
1:8,Investeringsstöd för anordnande av hyresbostäder och bostäder för studerande,0
1:1,Regionala utvecklingsåtgärder,75000000
1:1,Naturvårdsverket,10000000
1:3,Åtgärder för värdefull natur,280000000
1:11,Åtgärder för havs- och vattenmiljö,220000000
1:12,Insatser för internationella klimatinvesteringar,60000000
1:14,Skydd av värdefull natur,-2005000000
1:16,Klimatinvesteringar,-800000000
1:19,Industriklivet,500000000
1:21,Driftstöd för bio-CCS,10000000
99:1,Utbyggd laddinfrastruktur,1000000000
99:2,Grönt bränslestöd,800000000
1:4,Energiforskning,250000000
1:5,Infrastruktur för elektrifierade transporter,-600000000
1:7,Energiteknik,-500000000
1:2,Vidmakthållande av statens transportinfrastruktur,525000000
1:6,Ersättning avseende icke statliga flygplatser,59000000
1:18,Bidrag för upprätthållande av kollektivtrafik,500000000
1:1,Skogsstyrelsen,40000000
1:2,Insatser för skogsbruket,-360000000
1:7,Ersättningar för viltskador m.m.,25000000
1:9,Bekämpning av växtskadegörare,5000000
1:14,Livsmedelsverket,5000000
1:15,Konkurrenskraftig livsmedelssektor,70000000
1:17,Åtgärder för landsbygdens miljö och struktur,0
1:26,Nedsättning av slakteriavgifter,70000000
1:4,Tillväxtverket,10000000
1:5,Näringslivsutveckling,-100000000
1:11,Bolagsverket,5000000
1:1,Kommunalekonomisk utjämning,5649000000
