Anslag,2022,2023,2024,Utgiftsområde,Namn
9:1,-19000000,-19000000,-19000000,1,Svenska institutet för europapolitiska studier samt EU-information
4:1,-25000000,-50000000,-100000000,1,Regeringskansliet m.m.
1:1,3000000,3000000,3000000,1,Kungliga hov- och slottsstaten
2:2,10000000,10000000,10000000,1,Riksdagens förvaltningsanslag
6:3,5000000,5000000,5000000,1,Integritetsskyddsmyndigheten
6:5,-19000000,-19000000,-19000000,1,Stöd till politiska partier
8:1,-140000000,-280000000,-420000000,1,Mediestöd
3:1,1000000,1000000,1000000,1,Sametinget
5:1,15000000,15000000,15000000,1,Länsstyrelserna m.m.
1:11,5000000,5000000,5000000,2,Finansinspektionen
99:1,500000000,0,0,3,Folkräkning
1:3,50000000,50000000,50000000,3,Kronofogdemyndigheten
1:2,90000000,190000000,290000000,3,Tullverket
1:1,415000000,350000000,271000000,3,Skatteverket
1:6,717000000,620000000,620000000,4,Kriminalvården
1:11,50000000,50000000,50000000,4,Rättsliga biträden
1:2,210000000,210000000,210000000,4,Säkerhetspolisen
1:3,25000000,25000000,25000000,4,Åklagarmyndigheten
1:5,95000000,60000000,100000000,4,Sveriges domstolar
1:1,3145000000,3305000000,5638000000,4,Polismyndigheten
1:10,175000000,175000000,175000000,4,Ersättning för skador på grund av brott
1:4,35000000,45000000,40000000,4,Ekobrottsmyndigheten
1:9,10000000,10000000,10000000,5,Svenska institutet
1:3,10000000,10000000,10000000,5,Nordiskt samarbete
1:5,1000000,1000000,1000000,5,Inspektionen för strategiska produkter
2:2,20000000,20000000,20000000,6,Förebyggande åtgärder mot jordskred och andra naturolyckor
1:4,50000000,50000000,50000000,6,Forskning och teknikutveckling
1:3,1287000000,2027000000,1957000000,6,Anskaffning av materiel och anläggningar
1:1,1156000000,656000000,656000000,6,Förbandsverksamhet och beredskap
1:8,30000000,30000000,30000000,6,Försvarets radioanstalt
1:2,0,-645000000,-1290000000,6,Försvarsmaktens insatser internationellt
1:9,50000000,50000000,50000000,6,Totalförsvarets forskningsinstitut
99:1,300000000,400000000,600000000,6,Beredskapslager
2:1,20000000,10000000,10000000,6,Kustbevakningen
1:11,20000000,20000000,20000000,6,Försvarets materielverk
1:6,-2000000,-2000000,-2000000,7,Utvärdering av internationellt bistånd
1:3,-2000000,-2000000,-2000000,7,Nordiska Afrikainstitutet
1:2,-500000000,-600000000,-700000000,7,Styrelsen för internationellt utvecklingssamarbete (Sida)
1:1,-16500000000,-22500000000,-28500000000,7,Biståndsverksamhet
