Utgiftsområde,Underområde,Anslag,Namn,Summa
1,,,Rikets styrelse,17268338000
1,1,,Statschefen,149157000
1,1,1,Kungliga hov- och slottsstaten,149157000
1,2,,Riksdagen och dess myndigheter,2565279000
1,2,1,Riksdagens ledamöter och partier m.m.,981205000
1,2,2,Riksdagens förvaltningsanslag,984675000
1,2,3,Riksdagens fastighetsanslag,120000000
1,2,4,Riksdagens ombudsmän (JO),123577000
1,2,5,Riksrevisionen,355822000
1,3,,Sametinget och samepolitiken,61800000
1,3,1,Sametinget,61800000
1,4,,Regeringskansliet m.m.,8441101000
1,4,1,Regeringskansliet m.m.,8441101000
1,5,,Länsstyrelserna,3573121000
1,5,1,Länsstyrelserna m.m.,3573121000
1,6,,Demokratipolitik och mänskliga rättigheter,1121858000
1,6,1,Allmänna val och demokrati,695140000
1,6,2,Justitiekanslern,55726000
1,6,3,Integritetsskyddsmyndigheten,124792000
1,6,4,Valmyndigheten,27000000
1,6,5,Stöd till politiska partier,169200000
1,6,6,Institutet för mänskliga rättigheter,50000000
1,7,,Nationella minoriteter,223271000
1,7,1,Åtgärder för nationella minoriteter,207771000
1,7,2,Åtgärder för den nationella minoriteten romer,15500000
1,8,,Medier,1101201000
1,8,1,Mediestöd,1055519000
1,8,2,"Myndigheten för press, radio och tv",45682000
1,9,,Sieps samt insatser för att stärka delaktigheten i EU-arbetet,31550000
1,9,1,Svenska institutet för europapolitiska studier samt EU-information,31550000
2,,,Samhällsekonomi och finansförvaltning,17971183000
2,1,1,Statskontoret,104034000
2,1,2,Kammarkollegiet,114574000
2,1,3,Finansinspektionens avgifter till EU:s tillsynsmyndigheter,25150000
2,1,4,Arbetsgivarpolitiska frågor,1693000
2,1,5,Statliga tjänstepensioner m.m.,14094000000
2,1,6,Finanspolitiska rådet,10936000
2,1,7,Konjunkturinstitutet,67682000
2,1,8,Ekonomistyrningsverket,210340000
2,1,9,Statistiska centralbyrån,592901000
2,1,10,Bidragsfastigheter,330000000
2,1,11,Finansinspektionen,733787000
2,1,12,Riksgäldskontoret,338983000
2,1,13,Bokföringsnämnden,13907000
