Kod,Namn,2022,2023,2024
2:1,Riksdagens ledamöter och partier m.m.,−1,−3,−5
2:2,Riksdagens förvaltningsanslag,−2,−4,−6
2:4,Riksdagens ombudsmän (JO),5,4,4
2:5,Riksrevisionen,−1,−1,−2
3:1,Sametinget,−0,−0,−0
4:1,Regeringskansliet m.m.,−16,−34,−51
5:1,Länsstyrelserna m.m.,28,20,12
6:2,Justitiekanslern,−0,−0,−0
6:3,Integritetsskyddsmyndigheten,−0,−1,−1
6:4,Valmyndigheten,−0,−0,−0
6:6,Institutet för mänskliga rättigheter,−15,−15,−15
7:2,Åtgärder för den nationella minoriteten romer,10,10,10
8:2,"Myndigheten för press, radio och tv",−0,−0,−0
9:1,Svenska institutet för europapolitiska studier samt EU-information,0,−0,−0
1:1,Statskontoret,−0,−0,−1
1:2,Kammarkollegiet,−0,−0,−0
1:6,Finanspolitiska rådet,0,0,−0
1:7,Konjunkturinstitutet,−0,−0,−0
1:8,Ekonomistyrningsverket,−0,−1,−1
1:9,Statistiska centralbyrån,−1,−2,−4
1:11,Finansinspektionen,−1,−3,−4
1:12,Riksgäldskontoret,−1,−1,−2
1:13,Bokföringsnämnden,0,−0,−0
1:15,Statens servicecenter,−1,−3,−5
1:16,Finansmarknadsforskning,0,−0,−0
1:17,Upphandlingsmyndigheten,−0,−0,−1
1:1,Skatteverket,−21,−38,−54
1:2,Tullverket,48,124,199
1:3,Kronofogdemyndigheten,−6,−11,−15
1:1,Polismyndigheten,400,842,2964
1:3,Åklagarmyndigheten,0,32,57
1:4,Ekobrottsmyndigheten,0,26,38
1:5,Sveriges Domstolar,0,197,165
1:6,Kriminalvården,0,0,700
1:14,Bidrag till lokalt brottsförebyggande arbete,500,600,700
1:2,Freds- och säkerhetsfrämjande verksamhet,−0,−0,−1
1:5,Inspektionen för strategiska produkter,−0,−0,−0
2:1,Kustbevakningen,50,50,50
3:1,Strålsäkerhetsmyndigheten,60,60,55
1:2,Styrelsen för internationellt utvecklingssamarbete (Sida),19,24,29
1:4,Folke Bernadotteakademin,−18,−23,−29
1:1,Migrationsverket,0,−176,−176
1:4,Domstolsprövning i utlänningsmål,−1,−3,−5
1:1,Socialstyrelsen,−1,−3,−4
1:2,Statens beredning för medicinsk och social utvärdering,−0,−0,−0
1:3,Tandvårds- och läkemedelsförmånsverket,−1,−2,−2
1:6,Bidrag till folkhälsa och sjukvård,−1700,−600,1500
1:9,Läkemedelsverket,−0,−1,−1
1:10,E-hälsomyndigheten,−0,−0,−1
1:12,Inspektionen för vård och omsorg,−2,−4,−5
2:1,Folkhälsomyndigheten,−2,−3,−4
3:1,Myndigheten för delaktighet,−0,−0,−0
4:1,Myndigheten för familjerätt och föräldraskapsstöd,0,−0,−0
4:4,Kostnader för statlig assistansersättning,472,948,1421
4:5,Stimulansbidrag och åtgärder inom äldreområdet,245,495,495
4:6,Statens institutionsstyrelse,−3,−6,−10
4:8,Myndigheten för vård- och omsorgsanalys,−0,−0,−0
5:1,Barnombudsmannen,−0,−0,−0
5:2,Barnets rättigheter,28,64,64
6:1,"Forskningsrådet för hälsa, arbetsliv och välfärd: Förvaltning",−0,−0,−0
1:1,Sjukpenning och rehabilitering m.m.,−8990,−8355,−8355
1:2,Aktivitets- och sjukersättningar m.m.,−574,−1398,−1398
2:1,Försäkringskassan,−64,−48,−67
2:2,Inspektionen för socialförsäkringen,−0,−0,−0
1:1,Garantipension till ålderspension,−800,−800,−900
1:4,Äldreförsörjningsstöd,300,300,400
2:1,Pensionsmyndigheten,−1,−3,−5
1:2,Föräldraförsäkring,−3194,−3810,−3888
1:8,Bostadsbidrag,100,0,0
2:1,Diskrimineringsombudsmannen,−0,−0,−1
3:1,Särskilda jämställdhetsåtgärder,80,80,80
3:2,Jämställdhetsmyndigheten,−5,−0,−0
4:2,Delegationen mot segregation,0,−0,−0
1:1,Arbetsförmedlingens förvaltningskostnader,−502,−620,−696
1:2,Bidrag till arbetslöshetsersättning och aktivitetsstöd,−308,4840,4770
1:3,Kostnader för arbetsmarknadspolitiska program och insatser,−899,−2024,−1966
1:5,Rådet för Europeiska socialfonden i Sverige,−0,−0,−1
1:8,Institutet för arbetsmarknads- och utbildningspolitisk utvärdering,−0,−0,−0
1:9,Inspektionen för arbetslöshetsförsäkringen,−0,−0,−0
1:10,Bidrag till administration av grundbeloppet,−0,−0,−0
1:13,"Nystartsjobb, etableringsjobb och stöd för yrkesintroduktionsanställningar",650,650,650
1:14,Etableringsersättning till vissa nyanlända invandrare,101,109,90
2:1,Arbetsmiljöverket,−1,−3,−4
2:2,Arbetsdomstolen,−0,−0,−0
2:4,Medlingsinstitutet,−0,−0,−0
2:5,Myndigheten för arbetsmiljökunskap,−0,−0,−0
1:3,Avsättning för kreditförluster,0,1924,1937
1:4,Statens utgifter för studiemedelsräntor,0,−558,−562
1:8,Centrala studiestödsnämnden,−1,−4,−5
1:9,Överklagandenämnden för studiestöd,0,−0,−0
1:1,Statens skolverk,78,18,15
1:2,Statens skolinspektion,4,−2,−3
1:3,Specialpedagogiska skolmyndigheten,−2,−3,−5
1:4,Sameskolstyrelsen,−0,−0,−0
1:5,Utveckling av skolväsendet och annan pedagogisk verksamhet,5416,3885,1274
1:7,"Maxtaxa i förskola, fritidshem och annan pedagogisk verksamhet, m.m.",−100,−200,−300
1:10,Fortbildning av lärare och förskolepersonal,0,0,200
1:11,Skolforskningsinstitutet,0,−0,−0
1:13,Bidrag till lärarlöner,500,500,500
1:14,Särskilda insatser inom skolområdet,60,60,60
1:17,Statligt stöd till vuxenutbildning,160,80,40
1:18,Myndigheten för yrkeshögskolan,5,−1,−1
1:19,Statligt stöd till yrkeshögskoleutbildning,250,300,320
2:1,Universitetskanslersämbetet,−0,−1,−1
2:2,Universitets- och högskolerådet,88,21,22
2:3,Uppsala universitet: Utbildning på grundnivå och avancerad nivå,−4,−10,−15
2:4,Uppsala universitet: Forskning och utbildning på forskarnivå,0,−6,−11
2:5,Lunds universitet: Utbildning på grundnivå och avancerad nivå,−5,−11,−17
2:6,Lunds universitet: Forskning och utbildning på forskarnivå,−5,−11,−17
2:7,Göteborgs universitet: Utbildning på grundnivå och avancerad nivå,−5,−11,−17
2:8,Göteborgs universitet: Forskning och utbildning på forskarnivå,−4,−8,−12
2:9,Stockholms universitet: Utbildning på grundnivå och avancerad nivå,−4,−9,−14
2:10,Stockholms universitet: Forskning och utbildning på forskarnivå,−4,−8,−12
2:11,Umeå universitet: Utbildning på grundnivå och avancerad nivå,−3,−8,−11
2:12,Umeå universitet: Forskning och utbildning på forskarnivå,−3,−6,−9
2:13,Linköpings universitet: Utbildning på grundnivå och avancerad nivå,−4,−8,−12
2:14,Linköpings universitet: Forskning och utbildning på forskarnivå,−2,−5,−7
2:15,Karolinska institutet: Utbildning på grundnivå och avancerad nivå,−2,−4,−6
