Kod,Namn,2022,2023,2024
2:2,Riksdagens förvaltningsanslag,10,10,10
4:1,Regeringskansliet m.m.,65,35,0
6:1,Allmänna val och demokrati,31,31,31
1:7,Konjunkturinstitutet,10,10,10
1:1,Skatteverket,10,500,0
1:2,Tullverket,80,215,300
1:1,Polismyndigheten,863,1058,2858
1:2,Säkerhetspolisen,37,37,37
1:3,Åklagarmyndigheten,76,154,218
1:6,Kriminalvården,645,795,1595
1:10,Ersättning för skador på grund av brott,40,80,80
99:1,Statligt stöd till kommunala ordningsvakter och lokala trygghetsåtgärder,500,500,500
1:4,Forskning och teknikutveckling,20,20,20
1:8,Försvarets radioanstalt,30,30,30
1:9,Totalförsvarets forskningsinstitut,30,30,30
2:1,Kustbevakningen,45,45,45
1:1,Biståndsverksamhet,−13010,−14640,−16570
1:1,Migrationsverket,105,330,430
1:3,Tandvårds- och läkemedelsförmånsverket,5,0,0
1:6,Bidrag till folkhälsa och sjukvård,80,80,80
2:4,Insatser mot hiv/aids och andra smittsamma sjukdomar,75,75,75
4:7,Bidrag till utveckling av socialt arbete m.m.,150,150,150
1:1,Sjukpenning och rehabilitering m.m.,−2722,−8487,−8477
1:2,Aktivitets- och sjukersättningar m.m.,−2387,−3511,−3511
2:1,Försäkringskassan,−310,−310,−310
1:1,Garantipension till ålderspension,0,−800,−800
1:4,Äldreförsörjningsstöd,0,300,300
1:2,Föräldraförsäkring,−3194,−3810,−3888
1:3,Underhållsstöd,−35,−70,−70
1:8,Bostadsbidrag,0,100,100
3:1,Särskilda jämställdhetsåtgärder,10,10,10
4:2,Delegationen mot segregation,−9,−18,−19
1:2,Bidrag till arbetslöshetsersättning och aktivitetsstöd,−4524,−3805,−3572
1:3,Kostnader för arbetsmarknadspolitiska program och insatser,−2069,−3828,−3049
1:4,Lönebidrag och Samhall m.m.,826,1542,1588
1:13,"Nystartsjobb, etableringsjobb och stöd för yrkesintroduktionsanställningar",1628,5366,3735
1:14,Etableringsersättning till vissa nyanlända invandrare,45,−78,−49
2:1,Arbetsmiljöverket,20,40,40
2:5,Myndigheten för arbetsmiljökunskap,−20,−40,−40
1:8,Centrala studiestödsnämnden,5,0,0
99:1,Betald polisutbildning,0,50,100
1:1,Statens skolverk,−71,−154,−183
1:2,Statens skolinspektion,60,60,60
1:5,Utveckling av skolväsendet och annan pedagogisk verksamhet,20,20,20
2:1,Universitetskanslersämbetet,10,0,0
2:64,Särskilda utgifter inom universitet och högskolor,20,20,20
3:1,Vetenskapsrådet: Forskning och forskningsinformation,100,100,100
1:2,"Bidrag till allmän kulturverksamhet, utveckling samt internationellt kulturutbyte och samarbete",190,290,290
8:1,Centrala museer: Myndigheter,−67,−90,−90
13:3,Stöd till friluftsorganisationer,15,15,15
14:1,Bidrag till folkbildningen,−138,0,0
1:4,Boverket,−20,−20,−20
1:6,Lantmäteriet,20,20,20
1:7,Energieffektivisering av flerbostadshus,−1256,−80,−1130
1:8,Investeringsstöd för anordnande av hyresbostäder och bostäder för studerande,0,0,−4650
1:1,Regionala utvecklingsåtgärder,75,75,150
1:1,Naturvårdsverket,10,10,10
1:3,Åtgärder för värdefull natur,280,380,400
1:11,Åtgärder för havs- och vattenmiljö,220,220,220
1:12,Insatser för internationella klimatinvesteringar,60,60,60
1:14,Skydd av värdefull natur,−2005,−2005,−2005
1:16,Klimatinvesteringar,−800,−1955,−3155
1:19,Industriklivet,500,500,500
1:21,Driftstöd för bio-CCS,10,10,10
99:1,Utbyggd laddinfrastruktur,1000,1000,1000
99:2,Grönt bränslestöd,800,900,900
1:4,Energiforskning,250,250,250
1:5,Infrastruktur för elektrifierade transporter,−600,0,0
1:7,Energiteknik,−500,−700,−700
1:2,Vidmakthållande av statens transportinfrastruktur,525,175,175
1:6,Ersättning avseende icke statliga flygplatser,59,0,0
1:18,Bidrag för upprätthållande av kollektivtrafik,500,0,0
1:1,Skogsstyrelsen,40,40,40
1:2,Insatser för skogsbruket,−360,−360,−360
1:7,Ersättningar för viltskador m.m.,25,25,25
1:9,Bekämpning av växtskadegörare,5,5,5
1:14,Livsmedelsverket,5,5,5
1:15,Konkurrenskraftig livsmedelssektor,70,70,70
1:17,Åtgärder för landsbygdens miljö och struktur,0,1000,1000
1:26,Nedsättning av slakteriavgifter,70,70,70
1:4,Tillväxtverket,10,10,10
1:5,Näringslivsutveckling,−100,−100,−100
1:11,Bolagsverket,5,5,5
1:1,Kommunalekonomisk utjämning,5649,8060,10691
