Kod,Namn,2022,2023,2024
1:1,Kungliga hov- och slottsstaten,−15,−15,−15
2:1,Riksdagens ledamöter och partier m.m.,−131,−131,−131
3:1,Sametinget,32,32,32
5:1,Länsstyrelserna m.m.,50,50,50
6:3,Integritetsskyddsmyndigheten,10,20,20
7:2,Åtgärder för den nationella minoriteten romer,10,20,20
99:1,Svensk ambassadör för FN-resolution 1325,3,3,3
1:11,Finansinspektionen,10,20,20
1:2,Tullverket,30,50,70
1:1,Polismyndigheten,70,70,70
1:3,Åklagarmyndigheten,10,10,10
1:5,Sveriges Domstolar,10,10,10
1:2,Freds- och säkerhetsfrämjande verksamhet,−10,−10,−10
1:11,Samarbete inom Östersjöregionen,10,20,30
1:2,Försvarsmaktens insatser internationellt,−486,−486,−486
1:3,Anskaffning av materiel och anläggningar,−1300,−1300,−1300
1:11,Försvarets materielverk,−5,−5,−5
2:1,Kustbevakningen,74,138,204
2:6,Myndigheten för samhällsskydd och beredskap,50,50,50
99:1,Beredskapslager för livsmedel,100,200,200
99:1,Additionellt klimatbistånd,500,750,1000
1:2,Ersättningar och bostadskostnader,−200,−210,−210
1:6,Offentligt biträde i utlänningsärenden,−50,−50,−50
1:1,Socialstyrelsen,10,15,20
1:4,Tandvårdsförmåner,2350,4700,4700
1:5,Bidrag för läkemedelsförmånerna,500,500,500
1:6,Bidrag till folkhälsa och sjukvård,4520,4540,4540
1:8,Bidrag till psykiatri,300,300,300
1:11,Prestationsbundna insatser för att korta vårdköerna,−3000,−3000,−3000
2:4,Insatser mot hiv/aids och andra smittsamma sjukdomar,10,10,10
99:2,Högkostnadsskydd för TBE vaccin & avgiftsfritt för barn,100,200,300
1:1,Sjukpenning och rehabilitering m.m.,−360,−560,−560
1:2,Aktivitets- och sjukersättningar m.m.,1850,2220,2220
1:7,Ersättning för höga sjuklönekostnader,−400,−700,−700
99:1,Sjuklön för små företag,2700,5600,5800
1:1,Garantipension till ålderspension,5700,7300,9300
1:3,Bostadstillägg till pensionärer,800,1000,700
1:4,Äldreförsörjningsstöd,−100,−100,−100
1:2,Föräldraförsäkring,−110,−10,−10
1:8,Bostadsbidrag,600,500,500
1:2,Kommunersättningar vid flyktingmottagande,640,650,670
3:1,Särskilda jämställdhetsåtgärder,50,50,50
1:1,Arbetsförmedlingens förvaltningskostnader,1160,1360,1660
1:2,Bidrag till arbetslöshetsersättning och aktivitetsstöd,1528,6982,6271
1:3,Kostnader för arbetsmarknadspolitiska program och insatser,989,1840,344
1:14,Etableringsersättning till vissa nyanlända invandrare,350,790,1160
2:1,Arbetsmiljöverket,100,100,100
2:6,Regional skyddsombudsverksamhet,20,20,20
99:1,Flyttbidrag,200,200,200
1:2,Studiemedel,780,760,770
1:3,Avsättning för kreditförluster,0,1924,1938
1:4,Statens utgifter för studiemedelsräntor,0,−577,−581
1:3,Specialpedagogiska skolmyndigheten,255,260,260
1:5,Utveckling av skolväsendet och annan pedagogisk verksamhet,329,635,643
1:7,"Maxtaxa i förskola, fritidshem och annan pedagogisk verksamhet, m.m.",2500,2500,2500
1:13,Bidrag till lärarlöner,−300,−300,−300
1:17,Statligt stöd till vuxenutbildning,300,30,30
2:2,Universitets- och högskolerådet,12,12,12
2:64,Särskilda utgifter inom universitet och högskolor,466,466,466
2:67,Särskilda bidrag inom högskoleområdet,30,30,30
3:1,Vetenskapsrådet: Forskning och forskningsinformation,35,35,35
1:2,"Bidrag till allmän kulturverksamhet, utveckling samt internationellt kulturutbyte och samarbete",368,368,365
1:4,Forsknings- och utvecklingsinsatser inom kulturområdet,1,1,1
4:3,Nämnden för hemslöjdsfrågor,2,2,2
4:4,Bidrag till bild- och formområdet,0,5,5
7:1,Riksantikvarieämbetet,9,9,9
7:2,Bidrag till kulturmiljövård,50,50,50
8:1,Centrala museer: Myndigheter,40,40,40
8:2,Centrala museer: Stiftelser,38,38,38
10:1,Filmstöd,10,13,13
12:2,Bidrag till nationell och internationell ungdomsverksamhet,0,50,50
